B	ID444611561          	AHREWS       	 MARITZA     	A	345  	71ST                
B	ID4449126128932110003	HILLEGASS    	 HAILIE      	E	106  	BRANTWOOD           
B	ID4449126128932110004	HILLEGASS    	 ROSE        	C	106  	BRANTWOOD           
B	ID4449126128932110005	HILLEGASS    	 JONIE       	E	106  	BRANTWOOD           
B	ID4449126128925510001	HULLOWAY     	 SCOTT       	C	107  	ELDORADA            
B	ID4449126128925510002	HULLOWAY     	 JENNIFER    	T	107  	ELDORADA            
B	ID444611540953       	JONES        	 PRESPEU     	J	7114 	3RD                 
B	ID444611540954       	JONES        	 NAOMI       	K	7114 	3RD                 
B	ID444611540955       	JONES        	 LUC         	M	7114 	3RD                 
B	ID4449126128938810001	KABEZA       	 RONNY       	 	512  	WOODHAVEN           
B	ID4449126128938810003	KABEZA       	 KEN         	R	512  	WOODHAVEN           
B	ID4449126128938810002	KABEZA       	 SHAWNA      	 	512  	WOODHAVEN           
B	ID4449126128943810001	KEARNAY      	 SHAMIKA     	E	501  	WOODHAVE            
B	ID4449126128943810002	KEARNAY      	 ASHLEY      	 	501  	WOODHAVE            
B	ID4449126128943810003	KEARNAY      	 SHERMICE    	 	501  	WOODHAVE            
B	ID44461191152        	MASLIN       	 ALMA        	C	620  	STARKEY             
B	ID4449126128940410001	MITCHELL     	 GEROME      	J	509  	WOODHAVEN           
B	ID4449126128940410002	MITCHELL     	 DORETTA     	M	509  	WOODHAVEN           
B	ID4449126128926310001	MONGUM       	 ROBERT      	J	105  	EL DORADO           
B	ID4449126128926310002	MONGUM       	 RAKIA       	 	105  	EL DORADO           
B	ID4449126128935410001	RAMOS        	 SONYA       	K	112  	BRANTWOOD           
B	ID4449126128934710001	RHOADS       	 JEFFREY     	C	110  	BRANTWOOD           
B	ID4449126128934710002	RHOADS       	 HENRIETTA   	 	110  	BRANTWOOD           
B	ID4449126128934710003	RHOADS       	 JANIE       	M	110  	BRANTWOOD           
B	ID4449126128934710004	RHOADS       	 JEANNE      	 	110  	BRANTWOOD           
B	ID4449126128946110001	RICHARDSONIII	 EMMIT       	E	315  	WOODHAVEN           
B	ID4449126128946110002	RICHARDSONIII	 TOMICA      	R	315  	WOODHAVEN           
B	ID4449126128931310001	RIVERA       	 JOHN        	U	104  	BRANTONWOOD         
B	ID4449126128931310002	RIVERA       	 STEWART     	K	104  	BRANTONWOOD         
B	ID4449126128928910001	RODRIGUEZ    	 JOSHUA      	V	101  	EL DORADO           
B	ID4449126128928910002	RODRIGUEZ    	 RUBY        	E	101  	EL DORADO           
B	ID444611541056       	SPINWATO     	 SILYIA      	M	301  	71ST                
B	ID4449126128941210001	STEWART      	 FRED        	A	505  	WOODHAVEN           
B	ID4449126128941210002	STEWART      	 SHANTELL    	A	505  	WOODHAVEN           
B	ID4449126128930510001	STOPPY       	 JEFFREY     	F	102  	BRANTWOOD           
B	ID4449126128930510005	STOPPY       	 FRANK       	E	102  	BRANTWOOD           
B	ID4449126128930510002	STOPPY       	 ELOUISE     	F	102  	BRANTWOOD           
B	ID4449126128930510003	STOPPY       	 QUIYINA     	B	102  	BRANTWOOD           
B	ID4449126128930510004	STOPPY       	 ALIE        	A	102  	BRANTWOOD           
B	ID4449126128927110001	WILKS        	 BENEDICT    	W	103  	EL DORADO           
B	ID4449126128927110003	WILKS        	 STEVEN      	M	103  	EL DORADO           
B	ID4449126128927110002	WILKS        	 HARRIET     	L	103  	EL DORADO           
B	ID4449126128937010001	WILLIAM      	 CHARLEY     	A	510  	WOODHAVEN           
B	ID4449126128937010002	WILLIAM      	 SHERRY      	V	510  	WOODHAVEN           
B	ID4449126128950310001	WRIGHT       	 BRYAN       	 	307  	WOODHAVEN           
B	ID4449126128950310002	WRIGHT       	 MAXINE      	H	307  	WOODHAVEN           
B	ID4449126128945310001	YATES        	 CHANSE      	E	403  	WOODHAVEN           
B	ID4449126128945310002	YATES        	 ALFREDICA   	S	403  	WOODHAVEN           
