A	ID4447124106922810001	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4445112314667210002	POLLACK      	 MIRIAM      	J	7139 	3RD                 
A	ID4445112314667210004	POLLACK      	 LEAH        	A	7139 	3RD                 
A	ID4445112314671410001	ROWEN        	 CHRISTOPHER 	J	7112 	2ND                 
A	ID4445112314671410004	ROWEN        	 EARNEST     	A	7112 	2ND                 
A	ID4445112314671410002	ROWEN        	 CATHY       	 	7112 	2ND                 
A	ID4445112314671410003	ROWEN        	 ELFRIEDA    	C	7112 	2ND                 
A	ID4445113314678910001	SAUNDERS     	 NICOLAS     	G	430  	72ND                
A	ID4445113314678910002	SAUNDERS     	 CATHERINE   	L	430  	72ND                
A	ID4445112314665610001	SCCHWARTZ    	 JOHN        	F	7121 	3RD                 
A	ID4445112314665610002	SCCHWARTZ    	 TRICIA      	E	7121 	3RD                 
A	ID4445113314677110001	SMALLS       	 JEFFREY     	P	441  	VILLAGRANDE         
A	ID4445113314677110002	SMALLS       	 INGER       	B	441  	VILLAGRANDE         
A	ID4445113314677110004	SMALLS       	             	J	441  	VILLAGRANDE         
A	ID4445113314677110003	SMALLS       	             	A	441  	VILLAGRANDE         
A	ID4449126128949510001	ARCHER       	 MARC        	C	309  	WOODHAVEN           
A	ID4449126128949510002	ARCHER       	 JEAN        	A	309  	WOODHAVEN           
A	ID4449126128933910001	BELTRAN      	 LAWRENCE    	C	108  	BRANTWOOD           
A	ID4449126128933910003	BELTRAN      	 JEFF        	J	108  	BRANTWOOD           
A	ID4449126128933910002	BELTRAN      	 SOUTA       	M	108  	BRANTWOOD           
A	ID4449126128936210001	BELTRAN      	 ELMER       	A	114  	BRANTWOOD           
A	ID4449126128936210004	BELTRAN      	 WILEY       	A	114  	BRANTWOOD           
A	ID4449126128936210002	BELTRAN      	 GISELA      	M	114  	BRANTWOOD           
A	ID4449126128936210003	BELTRAN      	 RUTH ANN    	M	114  	BRANTWOOD           
A	ID4449126128947910001	CAGER        	 EDWIN       	M	313  	WOODHAVEN           
A	ID4449126128947910003	CAGER        	 EARLE       	M	313  	WOODHAVEN           
A	ID4449126128947910002	CAGER        	 ROSETTA     	J	313  	WOODHAVEN           
A	ID4449126128938810001	COBEZA       	 RONNIE      	 	512  	WOODHAVEN           
A	ID4449126128938810003	COBEZA       	 KENNETH     	R	512  	WOODHAVEN           
A	ID4449126128938810002	COBEZA       	 SHAWN       	E	512  	WOODHAVEN           
A	ID4449126128938810004	COBEZA       	             	M	512  	WOODHAVEN           
A	ID4449126128942010001	DORSEY       	 ARY         	S	503  	WOODHAVEN           
A	ID4449126128942010002	DORSEY       	 MELISSA     	J	503  	WOODHAVEN           
A	ID4449126128942010003	DORSEY       	 DEBBIE      	M	503  	WOODHAVEN           
A	ID4449126128942010004	DORSEY       	 ENDA        	L	503  	WOODHAVEN           
A	ID4449126128948710001	DRENMON      	 ISSAC       	F	311  	WOODHAVEN           
A	ID4449126128948710003	DRENMON      	 ERNEST      	R	311  	WOODHAVEN           
A	ID4449126128948710002	DRENMON      	 THERESA     	A	311  	WOODHAVEN           
A	ID4449126128939610001	FLEEK        	 JOANNIE     	 	514  	WOODHAVEN           
A	ID4449126128939610002	FLEEK        	 ANNTIONETTE 	 	514  	WOODHAVEN           
A	ID4449126128944610002	FLOWERS      	 STANLY      	J	405  	WOODHAVEN           
A	ID4449126128944610001	FLOWERS      	 COVNELIA    	M	405  	WOODHAVEN           
A	ID4449126128929710001	GALIDEZ      	 KEN         	E	100  	BRANTWOOD           
A	ID4449126128929710002	GALIDEZ      	 ENZELEE     	E	100  	BRANTWOOD           
A	ID4449126128929710003	GALIDEZ      	 MICHELLE    	M	100  	BRANTWOOD           
A	ID4449126128929710004	GALIDEZ      	 CHATERAH    	M	100  	BRANTWOOD           
A	ID4449126128932110001	HILLEGAS     	 GIANNI      	E	106  	BRANTWOOD           
A	ID4449126128932110002	HILLEGAS     	 JANICE      	 	106  	BRANTWOOD           
A	ID4449126128932110003	HILLEGAS     	 HAILLE      	E	106  	BRANTWOOD           
A	ID4449126128932110004	HILLEGAS     	 ROSA        	C	106  	BRANTWOOD           
A	ID4449126128932110005	HILLEGAS     	 JAMIE       	E	106  	BRANTWOOD           
A	ID4449126128925510001	HOLLOWAY     	 SCOT        	C	107  	ELDORADO            
A	ID4449126128925510002	HOLLOWAY     	 JENIFFER    	T	107  	ELDORADO            
A	ID4449126128943810001	KEARNEY      	 SHANIKA     	E	501  	WOODHAVEN           
A	ID4449126128943810002	KEARNEY      	 ASHELY      	E	501  	WOODHAVEN           
A	ID4449126128943810003	KEARNEY      	 SHERMISE    	J	501  	WOODHAVEN           
A	ID4449126128926310001	MANGUM       	 ROB         	J	105  	ELDORADO            
A	ID4449126128926310002	MANGUM       	 BAKIA       	E	105  	ELDORADO            
A	ID4449126128940410001	MITCHELLL    	 JEROME      	J	509  	WOODHAVEN           
A	ID4449126128940410002	MITCHELLL    	 DONETTA     	M	509  	WOODHAVEN           
A	ID4449126128928910001	RADRIGZ      	 JOSH        	D	101  	ELDORADO            
A	ID4449126128928910002	RADRIGZ      	 RUGY        	E	101  	ELDORADO            
A	ID4449126128935410001	RAMAS        	 SONJA       	K	112  	BRANTWOOD           
A	ID4449126128934710001	RHODES       	 JEFF        	L	110  	BRANTWOOD           
A	ID4449126128934710002	RHODES       	 HENRIETTE   	 	110  	BRANTWOOD           
A	ID4449126128934710003	RHODES       	 JANNIE      	M	110  	BRANTWOOD           
A	ID4449126128934710004	RHODES       	 JOANN       	N	110  	BRANTWOOD           
A	ID4449126128931310001	RIBERA       	 JOHONNY     	U	104  	BRANTWOOD           
A	ID4449126128931310002	RIBERA       	 STUART      	K	104  	BRANTWOOD           
A	ID4449126128946110001	RICHARDSON   	 EMMETTE     	E	315  	WOODHAVEN           
A	ID4449126128946110002	RICHARDSON   	 TAMIKA      	R	315  	WOODHAVEN           
A	ID4449126128930510001	STAPPY       	 JEFF        	F	102  	BRANTWOOD           
A	ID4449126128930510005	STAPPY       	 FRANKLIN    	E	102  	BRANTWOOD           
A	ID4449126128930510002	STAPPY       	 ELLA LOUISE 	F	102  	BRANTWOOD           
A	ID4449126128930510003	STAPPY       	 QUAYN       	B	102  	BRANTWOOD           
A	ID4449126128930510004	STAPPY       	 ARLIE       	A	102  	BRANTWOOD           
A	ID4449126128941210001	STEWARD      	 FREDERICK   	A	505  	WOODHAVEN           
A	ID4449126128941210002	STEWARD      	 CHANTEL     	A	505  	WOODHAVEN           
A	ID4449126128950310001	WCIGNT       	 BRIAN       	 	307  	WOODHAVEN           
A	ID4449126128950310002	WCIGNT       	 MAXICINE    	H	307  	WOODHAVEN           
A	ID4449126128927110001	WILKES       	 BEN         	W	103  	ELDORADO            
A	ID4449126128927110003	WILKES       	 STEVE       	M	103  	ELDORADO            
A	ID4449126128927110002	WILKES       	 HARRIETTE   	L	103  	ELDORADO            
A	ID4449126128937010001	WILLIAMS     	 CHARLIE     	A	510  	WOODHAVEN           
A	ID4449126128937010002	WILLIAMS     	 SHERRI      	V	510  	WOODHAVEN           
A	ID4449126128945310001	YETES        	 CHANCE      	E	403  	WOODHAVEN           
A	ID4449126128945310002	YETES        	 ALFREDRICK  	S	403  	WOODHAVEN           
